customer_id,num_orders,total_spent,avg_order_value,order_value_std,first_order_date,last_order_date,country,recency_days,customer_age_days,frequency,monetary,months_active,purchase_growth
12346.0,1,77183.6,77183.6,,2011-01-18 10:01:00,2011-01-18 10:01:00,United Kingdom,325,0,1,77183.6,1,0.0
12347.0,7,4310.0,23.681318681318682,23.289902310501176,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,1,365,7,4310.0,7,-0.6831885969219545
12348.0,4,1797.24,57.97548387096774,48.51485730087981,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,74,282,4,1797.24,4,-0.6520474379055717
12349.0,1,1757.55,24.076027397260273,34.6559127045895,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,18,0,1,1757.55,1,0.0
12350.0,1,334.40000000000003,19.67058823529412,7.275538185065965,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,309,0,1,334.40000000000003,1,0.0
12352.0,8,2506.04,29.482823529411764,51.68790029756352,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,35,260,8,2506.04,4,0.051193277310924434
12353.0,1,89.0,22.25,12.215427404174878,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,203,0,1,89.0,1,0.0
12354.0,1,1079.4,18.610344827586207,8.679742086377074,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,231,0,1,1079.4,1,0.0
12355.0,1,459.40000000000003,35.338461538461544,29.70352219466962,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain,213,0,1,459.40000000000003,1,0.0
12356.0,3,2811.43,47.65135593220339,48.5722968956169,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal,22,302,3,2811.43,3,-0.9738847673610195
12357.0,1,6207.67,47.38679389312977,39.56476161876249,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,32,0,1,6207.67,1,0.0
12358.0,2,1168.06,61.47684210526315,52.27752321904825,2011-07-12 10:04:00,2011-12-08 10:26:00,Austria,1,149,2,1168.06,2,0.40822459144609563
12359.0,4,6372.58,25.695887096774193,31.33620817089572,2011-01-12 12:43:00,2011-10-13 12:47:00,Cyprus,57,274,4,6372.58,4,4.246763901549681
12360.0,3,2662.06,20.63612403100775,21.39461772670865,2011-05-23 09:43:00,2011-10-18 15:22:00,Austria,51,148,3,2662.06,3,-0.036696232643050726
12361.0,1,189.9,18.990000000000002,3.280396317520186,2011-02-25 13:51:00,2011-02-25 13:51:00,Belgium,286,0,1,189.9,1,0.0
